id,split,MSA,EGY,EGY Translation
333,corpus-6-test-corpus-26-test,من فضلك غير هذه الينات إلى جنيهات .,من فضلك غيرلي الين اللي معايا بجنيهات.,من فضلك غير هذه الينات إلى جنيهات.
346,corpus-6-test-corpus-26-train,أريد قاموس جيب ، من فضلك .,عايز قاموس جيب صغير، ،لو سمحت .,أريد قاموس جيب ، من فضلك.
360,corpus-6-test-corpus-26-train,"لشخصين عند الساعة السابعة , الاسم وتاناب .",لشخصين الساعة سبعة . الاسم واتانابي.,"لشخصين عند الساعة السابعة, الاسم وتاناب."
368,corpus-6-test-corpus-26-train,ساعتي . كانت ساعة سيكو رقمية .,ساعتي كانت سايكو رقميه.,ساعتي. كانت ساعة سيكو رقمية.
370,corpus-6-test-corpus-26-train,يسعدنا أن نقدم لك الشراب الذي تريده متبوعاً بالغداء . دليل كامل بالمشروبات التي نقدمها على رحلتنا موجودة في دليل المعلومات الخاص بمجلتنا .,يسعدنا نقدم ليكم المشروب اللي تختاروة، بعد الاكل . حتلاقو لسته كاملة بأنواع المشروبات اللي بنقدمها في رحلتنا موجوده في دليل المعلومات في مجلتنا.,يسعدنا أن نقدم لك الشراب الذي تريده متبوعاً
373,corpus-6-test-corpus-26-test,هل تعيش بالقرب من هنا ؟,انت عايش قريب من هنا؟,هل تعيش بالقرب من هنا ؟
375,corpus-6-test-corpus-26-train,أين محل الهدايا ؟,فين محل الهدايا؟,أين محل الهدايا ؟
386,corpus-6-test-corpus-26-test,أنا على الطريق الرئيسي بجانب خليج موروا .,انا عالطريق السريع جنب خليج مورو.,أنا على الطريق الرئيسي بجانب خليج موروا.
391,corpus-6-test-corpus-26-train,أريد منبه ، من فضلك .,من فضلك عايز منبه .,أريد منبه ، من فضلك.
398,corpus-6-test-corpus-26-dev,بالمناسبة ، اسمي هيروش إيجيما .,بالمناسبه، اسمي هيوشي ايجيما .,بالمناسبة ، اسمي هيروش إيجيما.
401,corpus-6-test-corpus-26-dev,"هذا القطار يتوقف في لاك فورست , أليس كذلك ؟",القطر ده بيقف في محطة لاك فورست، مش كده؟,"هذا القطار يتوقف في لاك فورست, أليس كذلك ؟"
408,corpus-6-test-corpus-26-train,معظم اليابانيين يأكلون الأخطبوط والحبار .,معظم اليابانيين بياكلوا اخطبوط و سبيط .,معظم اليابانيين يأكلون الأخطبوط والحبار.
416,corpus-6-test-corpus-26-train,"هل يمكنني الحصول على تذكرتين درجة ثانية لشيكاغوا , من فضلك ؟",ممكن من فضلك تذكرتين درجة تانية لشيكاجو؟,هل يمكنني الحصول على تذكرتين درجة ثانية لشيكاغوا
419,corpus-6-test-corpus-26-train,لقد ذهبت إلى نيويورك .,انا رجت نيويورك .,لقد ذهبت إلى نيويورك.
423,corpus-6-test-corpus-26-train,ما هو رقم الرحلة الجوية ؟,ايه رقم الرحلة؟,ما هو رقم الرحلة الجوية ؟
442,corpus-6-test-corpus-26-test,واحد لنيويورك ، من فضلك .,تذكرة لنيويورك من فضلك .,واحد لنيويورك ، من فضلك.
446,corpus-6-test-corpus-26-train,لعدة أيام قليلة .,حوالي ايام قليله .,لعدة أيام قليلة.
447,corpus-6-test-corpus-26-train,الثاني من على اليسار .,التاني عالشمال .,الثاني من على اليسار.
471,corpus-6-test-corpus-26-dev,"هذا الكارت , حسناً ؟",الكارت اهوه . .تمام كده؟,"هذا الكارت, حسناً ؟"
488,corpus-6-test-corpus-26-train,هل هذا مكتب الاستقبال ؟ هل يوجد عيادة قريبة ؟,هو ده مكتب الاستقبال؟ ما فيش عيادة قريبه؟,هل هذا مكتب الاستقبال ؟ هل يوجد عيادة قريبة ؟
493,corpus-6-test-corpus-26-train,هل عشرة دولارات ستكون كافية للذهب بالتاكسي ؟,حيكفي عشر دولارات للتاكسي؟,هل عشرة دولارات ستكون كافية للذهب بالتاكسي ؟
503,corpus-6-test-corpus-26-train,أنه ذو مذاق غريب .,طعمة غريب .,أنه ذو مذاق غريب.
512,corpus-6-test-corpus-26-train,"نعم . انتظر , سوف احضر لك واحدة .",ايوه . استنى انا جبت واحد ليك .,"نعم. انتظر, سوف احضر لك واحدة."
516,corpus-6-test-corpus-26-train,"نصف زجاجة , من فضلك .",نص قزازة، من فضلك .,"نصف زجاجة, من فضلك."
540,corpus-6-test-corpus-26-train,ليس تماماً . فقط شيء ما غير غالي الثمن .,مش بالظبط . حاجه بس ماتكونش غاليه .,ليس تماماً. فقط شيء ما غير غالي الثمن
548,corpus-6-test-corpus-26-train,هل تبحث عن شيء ما ؟,بتدور على حاجه؟,هل تبحث عن شيء ما ؟
551,corpus-6-test-corpus-26-train,أربع ليالي .,اربع ليالي .,أربع ليالي.
553,corpus-6-test-corpus-26-train,أريد بعض الجوارب الرجالي .,عايز شويه شرابات .,أريد بعض الجوارب الرجالي.
565,corpus-6-test-corpus-26-train,هل تستطيع أن تخفض سعرها لوجود بعض البقع بها ؟,ممكن تبيعه أرخص علشان هناك شويه بقع؟,هل تستطيع أن تخفض سعرها لوجود بعض البقع بها ؟
571,corpus-6-test-corpus-26-train,ارتطم بي شخص وبعد ذلك اكتشفت أن محفظتي قد سرقت .,راجل خبطني . و يعد كده اخدت بالي ان المحفظة راحت .,ارتطم بي شخص وبعد ذلك اكتشفت أن محفظتي قد سرقت
599,corpus-6-test-corpus-26-train,أنا غير متأكد إذا كنت قد حزمت ملابس كافية لرحلة مدتها ثلاثة أيام .,انا مش متأكد اني حطيت في الشنطة لبس يكفيني تلات تيام .,أنا غير متأكد إذا كنت قد حزمت ملابس كافية
612,corpus-6-test-corpus-26-train,حسناً ، أود أن أجرب النبيذ الأبيض .,تمام، نحب نجرب النبيت الابيض .,حسناً ، أود أن أجرب النبيذ الأبيض.
631,corpus-6-test-corpus-26-train,إذا سأل أحد عني فأخبره بأني سوف أكون بالمقهى .,لو حد سال عني، قله اني حأكون موجود عالقهوة .,إذا سأل أحد عني فأخبره بأني سوف أكون بالمقه
632,corpus-6-test-corpus-26-train,أنا متأكد أني وضعتها بالجيب الداخلي للمعطف .,انا متأكد ان كان معايا في الجيب الجواني بتاع البالطو بتاعي .,أنا متأكد أني وضعتها بالجيب الداخلي للمعطف.
641,corpus-6-test-corpus-26-test,هل يمكن أن تخبرين باسم ورقم الطرف الذي تريد الاتصال به ؟,ممكن أعرف أسم و رقم الشخص اللي هتكلمه؟,هل يمكن أن تخبرين باسم ورقم الطرف الذي تريد ال
643,corpus-6-test-corpus-26-train,هل ستدفع لي شركة الطيران لشراء بعض الاحتياجات الشخصية الأساسية ؟,هى الخطوط الجوية حتدفعلي علشان اشتري حاجات شخصية اسايه؟,هل ستدفع لي شركة الطيران لشراء بعض الاحتياجات الشخصية
650,corpus-6-test-corpus-26-train,أرغب في غرفة بحمام .,عايز اوضه بحمام .,أرغب في غرفة بحمام.
652,corpus-6-test-corpus-26-dev,لم يخرج من الماكينة شيء .,مافيش حاجة بتخرج من المكنه ؟,لم يخرج من الماكينة شيء.
667,corpus-6-test-corpus-26-test,كان يفترض أن تسافر على الطائرة رقم ثمانية اثنان صفر التي أقلعت منذ خمس عشرة دقيقة . حسنا . بإمكاني تنظيم رحلة أخرى .,انت كان المفروض تاخد الرحلة تمانية اتنين صفر، اللي اقلعت من خمستاشر دقيقة . على الى حال انا اقدر ارتب رحلة جديدة عشانك .,كان يفترض أن تسافر على الطائرة رقم ثمانية اثنان
673,corpus-6-test-corpus-26-train,شخص ما فتح الطرد الخاص بي .,فيه واحد فتح الطرد بتاعي .,شخص ما فتح الطرد الخاص بي.
679,corpus-6-test-corpus-26-test,"آوه , الأمر بسيط ، هل أنت هنا ، على أية حال .",أوة، لا ولا حاجه . المهم انك هنا، على اى حال .,"آوه, الأمر بسيط ، هل أنت هنا, على أ"
680,corpus-6-test-corpus-26-train,شركة الخطوط الجوية اليابانية ، طائرة رقم واحد اثنان ثلاثة .,الخطوط الجوية اليابانيه، رحلة رقم ميه تلاته و عشرين .,شركة الخطوط الجوية اليابانية ، طائرة رقم واحد اثنان
681,corpus-6-test-corpus-26-train,أرغب في شراء شامبو .,عايز اشتري شامبو .,أرغب في شراء شامبو.
683,corpus-6-test-corpus-26-train,هل بإمكانك أن تخبرين متى نصل إلى مجمع الخدمات العامة .,ممكن تقوللي لما نوصل لمركز الخدمات المدنية؟,هل بإمكانك أن تخبرين متى نصل إلى مجمع الخدمات العام
688,corpus-6-test-corpus-26-train,ـ أين أقرب محل جزارة ؟,فين أقرب جزار؟,ـ أين أقرب محل جزارة ؟
703,corpus-6-test-corpus-26-train,نرغب في أن نقيم أربع ليالي بدءاً من أول أغسطس .,عايزين نحجز اربع ليالي من اول اغسطس .,نرغب في أن نقيم أربع ليالي بدءاً من أول أغسطس
708,corpus-6-test-corpus-26-train,ما اسم هذه الوردة ؟,ايه اسم الورده ديه؟,ما اسم هذه الوردة ؟
719,corpus-6-test-corpus-26-train,الخامس عشر من سبتمبر يوم احترام المسنين .,يوم خمستاشر سبتمبر بيكون يوم احترام العواجيز .,الخامس عشر من سبتمبر يوم احترام المسنين.
723,corpus-6-test-corpus-26-train,ليس هناك صابون في حجرتي .,مافيش شوربه في أوضتي .,ليس هناك صابون في حجرتي.
741,corpus-6-test-corpus-26-dev,عندك أية شيء يمكن أن أتعاطه للطفح الجلدي ؟,فيه اى حاجه ممكن اخدها علشان الطفح الجلدي؟,عندك أية شيء يمكن أن أتعاطه للطفح الجلدي 
742,corpus-6-test-corpus-26-train,هل يمكنك أن تغير الصياغة طبقاً لما قلته للتو ؟,ممكن تغير الصيقة للي انتي لسه قايله دلوقتي؟,هل يمكنك أن تغير الصياغة طبقاً لما قلته للت
761,corpus-6-test-corpus-26-test,كم ستستغرق لكي تطلب ؟,بياخد وقت اد ايه علشان اطلب حاجه؟,كم ستستغرق لكي تطلب ؟
773,corpus-6-test-corpus-26-train,"لا أستطيع أن أفعل ذلك , لكني سوف أضعها في الحقيبة لك .",ممكن من فضلك تتكلم بصوت أعلى؟,"لا أستطيع أن أفعل ذلك, لكني سوف أضعها"
777,corpus-6-test-corpus-26-train,كم تستغرق حتى تصبح متاحة .,حياخد وقت اد ايه قبل ما يخرج؟,كم تستغرق حتى تصبح متاحة.
786,corpus-6-test-corpus-26-train,أين الاستعلامات الرياضية ؟,فين معلومات الرياضة؟,أين الاستعلامات الرياضية ؟
787,corpus-6-test-corpus-26-train,هذا المقاس ، الذي تسميه المقاس العادي ، سوف تجده هنا .,الحجم ده . اللي انتي بتقول عليها الحجم العادي . .يؤدي الغرض .,هذا المقاس ، الذي تسميه المقاس العادي ، سوف تج
793,corpus-6-test-corpus-26-test,أين ستنتهي الجولة ، ومتى ؟,امتى حتنتهي الرحلة، و فين؟,أين ستنتهي الجولة ، ومتى ؟
848,corpus-6-test-corpus-26-train,من أي مكان يمكنني أن أغير القطار الذي يوصلني إلى إدنبره ؟,منين اقدر اغير القطر علشان اوصل ادنبرة ؟,من أي مكان يمكنني أن أغير القطار الذي يوصلني إل
855,corpus-6-test-corpus-26-train,أود أن أضع ذلك في صندوق ودائع آمن .,عايز احطه في صندوق ايداع امن .,أود أن أضع ذلك في صندوق ودائع آمن.
859,corpus-6-test-corpus-26-train,أين يمكنني تغير نقودي ؟,فين أقدر اغير فلوسي؟,أين يمكنني تغير نقودي ؟
897,corpus-6-test-corpus-26-train,هل يمكننا ترك أشياءنا ما عدا الأشياء القيمة في الحافلة ؟,ينفع نسيب حاجتنا في الاتوبيس، ماعدا الحاجات المهمه؟,هل يمكننا ترك أشياءنا ما عدا الأشياء القيمة في الحافل
902,corpus-6-test-corpus-26-train,أتساءل عن هذه الرسوم الزائدة على فاتورتي .,انا بأتسائل عن التكلفة ديه اللي في الفاتورة علشان ايه.,أتساءل عن هذه الرسوم الزائدة على فاتورتي.
917,corpus-6-test-corpus-26-train,أنا سوف أدفع خمسون دولاراً .,حأدفع خمسين دولار .,أنا سوف أدفع خمسون دولاراً.
941,corpus-6-test-corpus-26-train,الآن أعرف . ماذا كان الخطأ . ؟,دلوقتي عارف ان الموضوع كان غلط .,الآن أعرف. ماذا كان الخطأ ؟
957,corpus-6-test-corpus-26-dev,أكيدا التي تتحدث معك ، أنا عندي حجز مائدة في تمام الساعة السادسة والثلث هذا المساء . ولكني آسفة لأني سأصل متأخرة نصف ساعة .,انا ايكيدا اللي بيكلمك. انا حاجز ترابيزة الساعة سته و نص الليله ديه . بس اسف حاتأخر نص ساعة.,أكيدا التي تتحدث معك ، أنا عندي حجز مائدة
1003,corpus-6-test-corpus-26-train,كم أوقية من العطر أستطيع الحصول عليه من غير رسوم ؟,اقدر اشتري كام أوقية بارفان ماعليهاش جمارك؟,كم أوقية من العطر أستطيع الحصول عليه من غير رسوم ؟
1007,corpus-6-test-corpus-26-train,فقط سياحة .,مجرد سياحة .,فقط سياحة.
1010,corpus-6-test-corpus-26-train,"هذا جيد , من فضلك وقع عليهم . كيف تريدها ؟",ده كويس، من فضلك أمضيهم . عاوزه ازاي؟,"هذا جيد, من فضلك وقع عليهم. كيف "
1023,corpus-6-test-corpus-26-test,هل لا زال لديكم مقاعد لعرض الليلة ؟,لسه فيه كراسي لمسرحية الليله؟,هل لا زال لديكم مقاعد لعرض الليلة ؟
1036,corpus-6-test-corpus-26-train,أود الحصول على واحدة كبيرة .,انا حابب الكبير .,أود الحصول على واحدة كبيرة.
1037,corpus-6-test-corpus-26-dev,لقد نمت و لم أتيقظ حين رن منبه السادسة و النصف .,نمت لغاية ما المنبة رن الساعة سته و نص .,لقد نمت و لم أتيقظ حين رن منبه السادسة و
1038,corpus-6-test-corpus-26-train,أنا مصور حر .,أنا مصوراتي حر.,أنا مصور حر.
1047,corpus-6-test-corpus-26-train,يستطيع الصرافون أن يغيروا دولاراتك من أجل بقشيش الكازينو . هل نذهب ؟,اللي بيوزعو الورق يقدرو يبدلو دولاراتك بقواشيط الكازينو . نروح؟,يستطيع الصرافون أن يغيروا دولاراتك من أجل بقش
1056,corpus-6-test-corpus-26-dev,لدينا نحو ثلاثون نوعاً من زيوت الاستحمام .,عندنا حوالي تلاتين نوع من زيوت الحمام .,لدينا نحو ثلاثون نوعاً من زيوت الاستحمام.
1062,corpus-6-test-corpus-26-train,سوف أحضر لك العرض الأسبوع القادم .,حيكون معايا العرض بتاعك الاسبوع الجاي .,سوف أحضر لك العرض الأسبوع القادم.
1074,corpus-6-test-corpus-26-train,شكراُ لك . كم تكلفة هذا القفاز ؟,أشكرك . بكام الجوانتي ده؟,شكراُ لك. كم تكلفة هذا القفاز ؟
1098,corpus-6-test-corpus-26-train,علىّ أن أذهب ، سأتصل بك لاحقاً .,لازم أمشي . حأكلمك بعدين .,علىّ أن أذهب ، سأتصل بك لاحقاً.
1100,corpus-6-test-corpus-26-train,أريد بعض الحفاضات التى يمكن التخلص منها بعد الاستعمال .,عايز بمبرز استعمال مره واحدة .,أريد بعض الحفاضات التى يمكن التخلص منها بعد الاستعمال
1122,corpus-6-test-corpus-26-train,أين نشأت سمكات الفراش هذه ؟,فين بلد سمك الفراشه ده؟,أين نشأت سمكات الفراش هذه ؟
1124,corpus-6-test-corpus-26-train,هل لك أن تغيرهم إلى دولارات من فضلك ؟,ممكن تغيرهم لدولارات، لو سمحت؟,هل لك أن تغيرهم إلى دولارات من فضلك ؟
1139,corpus-6-test-corpus-26-train,نحن محظوظون جداً . لديهم واحدة مقاس أربعة فى متجر ألامونا .,أحنا محظوظين . عندهم واحد مقاس أربعة في محل الا موانا .,نحن محظوظون جداً. لديهم واحدة مقاس أربع
1146,corpus-6-test-corpus-26-train,هل هناك سيارة ليموزين ؟,الاقي ليموزين؟,هل هناك سيارة ليموزين ؟
1163,corpus-6-test-corpus-26-dev,هل لى أن أتلقى اتصالاً يوقظنى فى الخامسة و النصف من صباح الغد ؟,ممكن تصحوني بالتليفون بكرة خمسه و نص الصبح؟,هل لى أن أتلقى اتصالاً يوقظنى فى الخامس
1165,corpus-6-test-corpus-26-train,أُفضلُ حجرة هادئة .,بأفضل أوضه هادية .,أُفضلُ حجرة هادئة.
1167,corpus-6-test-corpus-26-train,أريد مزيلا لطلاء الأظافر .,عايز مزيل مونيكير .,أريد مزيلا لطلاء الأظافر.
1183,corpus-6-test-corpus-26-train,أريد بطارية .,عايز بطارية .,أريد بطارية.
1193,corpus-6-test-corpus-26-test,هل هناك فرقة موسيقية أم دي جي ؟,فيه فرقة موسيقية لايف أو ديجيه؟,هل هناك فرقة موسيقية أم دي جي ؟
1194,corpus-6-test-corpus-26-train,هل أستطيع تأجير أداة للتنفس أثناء السباحة ؟,ممكن أجر معدات غطس؟,هل أستطيع تأجير أداة للتنفس أثناء السباحة ؟
1199,corpus-6-test-corpus-26-dev,أود حجز غرفة لأربع ليالى ابتداء من الثانى و العشرين من ديسمبر .,عايز أحجز أوضة أربع ليال من أول اتنين و عشرين ديسمبر .,أود حجز غرفة لأربع ليالى ابتداء من الثانى و
1212,corpus-6-test-corpus-26-train,هل هذه الحقيبة مناسبة لكل حالات الطقس ؟,الشنطة ديه تستحمل كل أنواع الطقس؟,هل هذه الحقيبة مناسبة لكل حالات الطقس ؟
1213,corpus-6-test-corpus-26-train,أريد كعكة محلاة من فضلك .,عايز كحك دونات، من فضلك .,أريد كعكة محلاة من فضلك.
1218,corpus-6-test-corpus-26-train,أريد تأجير سلاح آلى لمدة يومين .,عايز أأجر عربية أوتامتيك ليومين .,أريد تأجير سلاح آلى لمدة يومين.
1224,corpus-6-test-corpus-26-train,لم أدرك الرحلة رقم عشرون المتجهة إلى سان فرانسيسكو .,فاتتني الرحلة رقم عشرين لسان فرانسيسكو.,لم أدرك الرحلة رقم عشرون المتجهة إلى سان فرانسي
1234,corpus-6-test-corpus-26-train,كم سأدفع للوصول إلى المطار ؟,بكام للمطار؟,كم سأدفع للوصول إلى المطار ؟
1235,corpus-6-test-corpus-26-train,هذا جيد . متى هو ؟,ده كويس . امتى يكون؟,هذا جيد. متى هو ؟
1276,corpus-6-test-corpus-26-train,كم عمر ابنتك ؟,بنتك أد ايه؟,كم عمر ابنتك ؟
1312,corpus-6-test-corpus-26-train,هل يمكن أن تدلني على بعض الفنادق الرخيصة والنظيفة ؟,ممكن تقولي عن فندق نضيف و رخيص؟,هل يمكن أن تدلني على بعض الفنادق الرخيصة والنظ
1321,corpus-6-test-corpus-26-train,يمكننا ان نحجز لك غرفة مريحة في قلعة قديمة بالقرب من نادي جولف شهير .,نقدر نحجزلك أوضه مريحة في القلعة القديمة جنب نادي جولف مشهور .,يمكننا ان نحجز لك غرفة مريحة في قلعة قديمة
1329,corpus-6-test-corpus-26-train,ارشح ذلك لأنه مائة في المائة مصنوع من مكونات طبيعية .,بأنصح بده لأنه مصنوع ميه بالميه من المكونات الطبيعية .,ارشح ذلك لأنه مائة في المائة مصنوع من مكونات طبيع
1361,corpus-6-test-corpus-26-dev,هل يتوقف القطار في برايتون ؟,القطر بيقف في بريتون؟,هل يتوقف القطار في برايتون ؟
1369,corpus-6-test-corpus-26-train,هل من الممكن أن تخبرني أين أستطيع أن أحصل على تاكسي ؟,ممكن تقوللي منين أخد تاكسي؟,هل من الممكن أن تخبرني أين أستطيع أن أحصل على تا
1375,corpus-6-test-corpus-26-train,تذكرتين درجة ثانية من فضلك .,تذكرتين درجة تانيه، من فضلك .,تذكرتين درجة ثانية من فضلك.
1384,corpus-6-test-corpus-26-train,أود أن أرسل فاكس .,عايز ابعت فاكس .,أود أن أرسل فاكس.
1394,corpus-6-test-corpus-26-train,أريد مكواة سفر .,محتاج مكوة سفر .,أريد مكواة سفر.
1396,corpus-6-test-corpus-26-train,أيمكنني أن أقدم لك أي شيء ؟,ممكن أقدملك اى حاجة؟,أيمكنني أن أقدم لك أي شيء ؟
1404,corpus-6-test-corpus-26-train,أخشى أن أسأل ، لكن ماذا تعني ؟,يومي؟ انا خايف اسأل، لكن انت تقصد ايه؟,أخشى أن أسأل ، لكن ماذا تعني ؟
1418,corpus-6-test-corpus-26-train,أريد الشخص الذي يعد وثائق عادية في حجم ورقة الخطاب بدون الحاجة إلى طيهم .,عايزة واحده تقدر تشيل ورق بحجم ورق الجوابات من غير ما يكونوا مطويين .,أريد الشخص الذي يعد وثائق عادية في حجم ورقة الخطاب
1433,corpus-6-test-corpus-26-test,نعم ، لكن ليس قويا جدا .,أيوة، بس ما يكونش جامد جدا .,نعم ، لكن ليس قويا جدا.
1434,corpus-6-test-corpus-26-train,أنا شديد الحساسية للقطط .,عندي حساسيه من القطط .,أنا شديد الحساسية للقطط.
1436,corpus-6-test-corpus-26-train,"نعم , لا بد أن يكون عندك رخصة قيادة ، ولا بد أن تحصل على رخصة من لجنة التاكسي والليموزين .",أيوة، لازم يكون عندك رخصة سواقة، اه، يكون عندك رخصه من لجنة التاكسي و الليموزين .,"نعم, لا بد أن يكون عندك رخصة قيادة ، ولا بد"
1462,corpus-6-test-corpus-26-train,استمر يا سيدي .,اتفضل، يا استاذ .,استمر يا سيدي.
